how are you?	N'ar jaraski?
to clean	ambákerani
to clean	ambákerani
to relieve	ambákerantani
to be good	ambáketini
good	ambákiti
to dawn	ambámandeni
sharpener	ambámukuri
to speak	ambándirani
place	ambándo
clean	ambánharhini
to clean	ambánskani
to clean	ambárheni
to scold	ambe ma arhíjperani
what will it be?	¿ambé xamuésïki?
what?	¿ambé?
what would it be?	¿ambépi?
what is it?	¿ambésïki?
what else?	¿ambéteru?
which?	nákï
when?	¿na jatíni?
how much?	¿na xáni?
horse	tekéchu
cabin	kuákua
hair	jaúiri
head	éjpu
person	apóntsi
cape	juási
each year	mándani uéxurhini
each thing	mándani ambe
each day	mándani pauáni
each month	mándani kutsï
everyone	táchani ísí
chain	tiámu síndári úkata
to fall	uekórheni
lime	kurhírakua
pumpkin	purhú
cramp	sínkúrí atáni
soup	churhípu
to heat	jurhéparani
hot	jurhépiti
street	xanháru
callus	takísï
to calm	iakáni
heat	apárhekua
bald	pátsïntsï
shoe	jukándurhakua
underwear	t'ipíjchukua
loincloth	jajchutakua
to change	mójtakuni
to change	mórheleni
traveler	xanhárati
to walk	xanhárani
road	xanháru
potato	uarhásï
farmer	tarhéri
I	Jí
my name is	Arhikuarheska
and	Ka
I am from	Anapueska
North Carolina	Carolina De Norte
I just danced	Jí uarhaspka
I danced	Jí uarhaska
I am dancing	Jí uarhaxaka
I sing	Jí piresïnga
I will dance	Jí pireaka
I cry	Ji uerasïnga
they cried	Inde ueraspti
they cried	Inde uerasti
they are crying	Inde ueraxati
little boy	Tataka sapichu
little girl	Nanaka sapichu
I am here	Jí ixu jarhaska
you are here?	T'úri ixu jarhaski
that	Inde
this dog is here	Inde uíchu ixu jarhasti
something	Ima
Daniel is not here	Ima tata Daniel ixu no jarhastti
the dog is there	Ima uíchu jinni jarhasti
to see	Exeni
I heard	Jí kurhaska
you heard	T'úri kurhaska
you saw	T'úri exeska
you are watching	T'úri exexaka
that dog is dancing	Inde uíchu uarhaxati
the boy played	Inde tataka ch'anasti
that boy is playing	Inde tataka ch'anasati
to buy	Piáani
see you next time	Menderu jimbo ia
everything good?	Sési?
yes	Jó
good	Sési
and	Ka
what is that?	Ka ambeeski inde?
that boy is sleeping	Inde tataka sapichu k'uíxatí
I saw the boy	Ji exeska tatakani
you saw the boy	T'úri exeska tataka sapichuni
they saw the woman	Inde exesti uarhiitini
the man gave the boy oatmeal	Achaati ínstskusti kamata tataka sapichuni
the dog went to drink	Inde uíchu nirasti itsïmani
that dog is happy	Ima uíchu enga tsípe xati
you are asking	T'u engari kurhamarhi xaka
you said the dog was happy	T'ure uandaska éska uíchu tsípesti
you said	T'ure uandaska
what is your name?	Náre arhikuarheski?
where are you from?	Ka nanire anapueski?
the girl is playing	Ch'ana xati nanaka sapichu
two flowers	Tsimani tsïtsïkiecha
many flowers	Uánekua tsïtsïkiecha
to ask	kurhamarhini
he asked	kurhamarhisti
this person asked	inde kurhamarhisti
he asked this person	kurhamarhisti inde
that person asked	ima kurhamarhisti
he asked that person	kurhamarhisti ima
they asked	tsï kurhamarhisti
they asked	ts'á kurhamarhisti
they asked	kurhamarhistiksi
go and buy garlic	Ni piani ajusï
a man is talking	Achaati ma uanda xati
watch out for the snake	Jinkontkua akuitsï jinkoni
I am going to buy snacks	Nipa piakuarhin amanhejchakua ambe
give me the comb	Intsïtarhin ambajtsïtakua
give me	Intsïtarhin
I am leaving	Nipaya
I am leaving before dawn	Nipaya antes de ambamandini
I did not go to work	No nirashkani anchikuarhini
I do not have a job	No kamshïnga anchikuarhita 
